Nome,Descricao
Veneno de Dois Gumes,"As facas de Shaco envenenam alvos passivamente ao contato, reduzindo sua Velocidade de Movimento. Ele pode arremessá-las para causar dano e envenenar o alvo. A faca arremessada causa dano adicional se a Vida do alvo estiver abaixo de 30%."
Alucinações,"Shaco cria uma ilusão de si mesmo próxima a ele, que pode atacar inimigos próximos (causa dano reduzido a torres). Ao morrer, ela explode, fazendo surgir três Caixinhas-Surpresa e causando dano a todos os inimigos próximos."
Barreira de Ki,"Após conjurar uma habilidade, Shen recebe um escudo. Afetar outros Campeões reduz o Tempo de Recarga desse efeito."
Ataque Crepúsculo,"Shen chama sua espada espiritual para atacar com ela, causando dano com base na Vida máxima do alvo. Os ataques são fortalecidos drasticamente caso ela colida com um Campeão inimigo. Todos os Campeões com quem ela colide têm a velocidade reduzida enquanto fogem de Shen."
Refúgio Espiritual,Ataques que atingiriam Shen ou seus aliados próximos à sua espada espiritual são bloqueados.
Corrida das Sombras,"Shen avança em uma direção, provocando inimigos em seu trajeto."
Manter a União,"Shen protege o Campeão-alvo aliado do dano recebido e, em seguida, teleporta-se para seu local."
Sett,o Chefe
Ousadia da Arena,"Os ataques básicos de Sett alternam entre socos de direita e esquerda. Socos de direita são levemente mais fortes e rápidos. Como Sett odeia perder, recebe Regeneração de Vida adicional com base na Vida perdida."
Pancadaria,Os próximos dois ataques de Sett causam dano adicional com base na Vida máxima do alvo. Ele também recebe Velocidade de Movimento enquanto se move em direção a Campeões inimigos.
Casca-Grossa,"O dano que Sett sofre é armazenado passivamente como Ousadia. Ao conjurar a habilidade, Sett consome toda a Ousadia armazenada em troca de um escudo e desfere um soco em uma área, causando Dano Verdadeiro no centro e Dano Físico nas laterais."
Quebra-Crânio,"Sett puxa todos os inimigos de cada lado seu, causando dano e atordoando. Caso haja inimigos somente de um lado, eles sofrem redução de velocidade em vez de atordoamento."
Hora do Show,"Sett carrega um Campeão inimigo pelos ares e o arremessa no chão, causando dano e redução de velocidade a todos os inimigos que estiverem próximos ao local de aterrissagem."
Seraphine,a Cantora Sonhadora
Presença de Palco,Cada terceira habilidade básica será conjurada duas vezes por Seraphine. Conjurar habilidades próximas a aliados também concede dano e alcance adicionais a ela no próximo ataque básico.
Nota Aguda,Seraphine causa dano em uma área.
Som Envolvente,"Seraphine concede Escudo e Aceleração aos aliados próximos. Caso ela já esteja protegida por um Escudo, também Curará os aliados próximos."
Ritmo Contagiante,Seraphine causa dano e debilita o movimento dos inimigos em linha reta.
Bis,"Seraphine causa dano e Encanta os inimigos atingidos, ampliando o alcance a cada Campeão aliado ou inimigo atingido."
Senna,A Redentora
Absolvição,"Quando unidades são abatidas perto de Senna, suas almas são periodicamente aprisionadas na Névoa Negra. Senna pode atacar essas almas para libertá-las, absorvendo a Névoa que as aprisiona na morte. A Névoa é o combustível do poder de seu Canhão Relicário, alimentando-o com Dano de Ataque, Alcance de Ataque e Chance de Acerto Crítico. 

Ataques do Canhão Relicário de Senna demoram mais para disparar, causam dano adicional e concedem a ela brevemente uma parte da Velocidade de Movimento do alvo."
Escuridão Perfurante,"Dos canos gêmeos de seu Canhão Relicário, Senna dispara um raio unificado de luz e sombra através do alvo, curando aliados e causando dano a inimigos."
Abraço Final,"Senna dispara uma onda de Névoa Negra. Se atingir um inimigo, ela o aprisiona ferozmente, enraizando o alvo e tudo que estiver ao redor dele após um curto intervalo."
Maldição da Névoa Negra,"Senna reúne a Névoa que ela armazenou em sua arma e a transforma em uma tempestade ao seu redor, abraçando a escuridão e se tornando um espectro. Os aliados que entram na área são camuflados e também tomam a forma de espectros enquanto a Névoa os envolve. Espectros têm sua Velocidade de Movimento aumentada, são inalvejáveis e escondem a própria identidade."
Sombra da Alvorada,"Senna invoca as pedras relicárias dos Sentinelas caídos, dividindo seu canhão relicário em uma miríade de luz e sombra. Ela, então, dispara um raio global que concede escudo a aliados, enquanto causa dano aos inimigos atingidos no centro."
Pés Ligeiros,Sivir ganha um pequeno impulso de Velocidade de Movimento quando ela ataca um campeão inimigo.
Lâmina Bumerangue,"Sivir arremessa sua lâmina como um bumerangue, causando dano tanto na ida quanto na volta."
Ricochete,"Os próximos ataques de Sivir ricochetearão em outros alvos além do primeiro, causando dano reduzido a alvos secundários."
Escudo de Feitiço,Cria uma barreira mágica que bloqueia a habilidade de um único inimigo lançada em Sivir. Ela recupera a Mana gasta se o feitiço for bloqueado.
Na Caçada,"Sivir conduz os aliados até a batalha, concedendo Velocidade de Movimento a eles por um curto período. Além disso, a Habilidade concede Velocidade de Ataque adicional passivamente a Sivir enquanto Ricochete estiver ativo."
Poção da Insanidade,"Singed bebe uma potente mistura de produtos químicos, que dá a ele um aumento nos atributos de combate."
Sejuani,a Fúria do Norte
Fúria do Norte,"Após ficar fora de combate, Sejuani recebe Armadura Congelada, que concede Armadura, Resistência Mágica e imunidade a reduções de velocidade. Armadura Congelada persiste por um curto período após Sejuani sofrer dano e  Sejuani pode causar dano a um inimigo atordoado para estilhaçá-la, causando muito Dano Mágico."
Ataque do Ártico,"Sejuani avança em investida, lançando os inimigos pelos ares. A investida cessa após acertar um Campeão inimigo."
Ira do Inverno,"Sejuani usa a maça duas vezes, causando dano e aplicando acúmulos de Congelar."
Congelamento Permanente,Sejuani congela e atordoa um Campeão inimigo que tiver o máximo de acúmulos de Congelar.
Prisão Glacial,"Sejuani arremessa sua boleadeira, congelando e atordoando o primeiro Campeão que acertar, criando uma tempestade de gelo que causa lentidão aos demais inimigos."
Samira,a Rosa do Deserto
Impulso Audacioso,"Samira gera um combo conforme Ataca ou conjura habilidades de forma alternada. Seus Ataques corpo a corpo causam Dano Mágico adicional. Os Ataques de Samira contra inimigos sob efeitos Imobilizadores a farão avançar ao Alcance de Ataque dela. Se o inimigo estiver afetado por Arremesso ao ar, ela mantém o Arremesso ao ar por um curto período."
Talento Natural,"Samira dispara um projétil ou golpeia com a espada, causando dano. Se a habilidade for conjurada durante Ímpeto Indomável, ela atinge todos os inimigos no caminho."
Voragem Afiada,"Samira gira a espada ao seu redor, causando dano e destruindo projéteis inimigos."
Ímpeto Indomável,"Samira avança e atravessa um inimigo (incluindo estruturas), cortando os inimigos atravessados e recebendo Velocidade de Ataque. Abater um Campeão inimigo reinicia o Tempo de Recarga da habilidade."
Gatilho Infernal,"Samira dispara uma saraivada de tiros, atingindo todos os inimigos ao redor dela."
Riven,a Exilada
Lâmina Rúnica,"As habilidades de Riven carregam sua lâmina, e seus ataques básicos consomem cargas para causar dano adicional."
Asas Quebradas,Riven faz uma série rápida de acertos. Esta habilidade pode ser reativada três vezes em um curto período de tempo. O terceiro golpe empurra para trás os inimigos próximos.
Rumble,a Ameaça Mecânica
Titã do Ferro-Velho,"Cada habilidade que Rumble conjura lhe concede Aquecimento. Ao chegar em 50% de Aquecimento, ele entra na Zona de Perigo, concedendo efeitos adicionais a todas as suas habilidades. Ao chegar a 100% de Aquecimento, ele começa a superaquecer, recebendo Velocidade de Ataque adicional e dano adicional em seus ataques básicos, mas fica incapaz de conjurar habilidades por alguns segundos."
Cospe-Fogo,"Rumble incinera os inimigos à sua frente, causando Dano Mágico em área de cone por 3 segundos. O dano aumenta enquanto ele estiver na Zona de Perigo."
Escudo de Sucata,"Rumble puxa um escudo que o protege de dano e lhe concede um rápido aumento de velocidade. Enquanto estiver na Zona de Perigo, a resistência do escudo e a velocidade adicional aumentam."
Arpão Elétrico,"Rumble lança um arpão, eletrocutando o alvo com Dano Mágico, causando Lentidão e reduzindo a Resistência Mágica dele. Ele pode carregar 2 arpões por vez. O dano e o percentual de Lentidão aumentarão dentro da Zona de Perigo."
Ryze,o Mago Rúnico
Maestria Arcana,As habilidades de Ryze causam dano adicional com base em sua Mana adicional. Ele recebe um percentual de aumento de Mana máxima com base em seu Poder de Habilidade.
Sobrecarregar,"Passivamente, as outras habilidades básicas de Ryze redefinem o Tempo de Recarga de Sobrecarregar e carregam uma runa. Quando Ryze conjura Sobrecarregar com 2 runas carregadas, ele recebe um breve surto de Velocidade de Movimento.

Ao conjurar, Ryze arremessa uma carga de energia pura em linha reta, causando dano ao primeiro inimigo atingido. Se o alvo estiver afetado por Fluxo, Sobrecarregar causa dano adicional e rebate para inimigos próximos atingidos por Fluxo."
Prisão de Runa,"Ryze prende um alvo em uma prisão de runas, causando dano e reduzindo sua Velocidade de Movimento. Se o alvo estiver afetado por Fluxo, ele é enraizado."
Fluxo de Feitiço,Ryze lança um orbe de puro poder mágico que causa dano a um inimigo e um efeito negativo em todos os inimigos próximos. As habilidades de Ryze têm efeitos adicionais contra a unidade afetada.
Portal de Reinos,"Passivamente, Sobrecarregar causa ainda mais dano contra alvos afetados por Fluxo.

Ao conjurar, Ryze cria um portal para um local próximo. Após alguns segundos, aliados próximos ao portal são teleportados ao local alvo."
Rengar,o Acossador da Alcateia
Predador Oculto,"Enquanto estiver em um arbusto, Rengar salta em seu alvo ao usar um ataque básico. Saltar sem Ferocidade gera Ferocidade.

Ao atingir Ferocidade máxima, sua próxima habilidade é fortalecida. Conjurar uma habilidade fortalecida aumenta a Velocidade de Movimento de Rengar por alguns segundos.

Abater Campeões inimigos acrescenta troféus ao Colar de Presas de Rengar, concedendo Dano de Ataque adicional."
Selvageria,"O próximo ataque de Rengar desfere uma punhalada brutal que causa dano adicional.

Efeito de Ferocidade: causa dano aumentado e concede Velocidade de Ataque."
Rugido de Batalha,"Rengar solta um rugido de batalha, causando dano aos inimigos e curando parte do dano que ele tenha recebido recentemente.

Efeito de Ferocidade: quebra efeitos de Controle de Grupo."
Boleadeiras,"Rengar arremessa sua boleadeira, reduzindo a velocidade do primeiro alvo atingido por um curto período.

Efeito de Ferocidade: enraíza o alvo."
Furor da Caçada,"Rengar ativa seus instintos predatórios, ficando Camuflado e revelando o campeão inimigo mais próximo a ele em um amplo raio ao seu redor. Durante o Furor da Caçada, Rengar recebe Velocidade de Movimento e pode saltar no inimigo perseguido para reduzir sua armadura, mesmo sem estar no arbusto."
Renekton,o Carniceiro das Areias
Domínio da Ira,"Os ataques de Renekton geram Fúria, que aumenta quando ele estiver com a Vida baixa. Essa Fúria pode fortalecer suas habilidades com efeitos adicionais."
Explosão de Ki,"Riven emite uma Explosão de Ki, causando dano e atordoamento a inimigos próximos."
Valentia,Riven avança uma curta distância e bloqueia o dano recebido.
Lâmina do Exílio,"Riven fortalece sua arma de recordação com energia, recebendo Dano de Ataque e alcance. Durante este período, ela também pode usar Golpe de Vento, um poderoso ataque à distância, uma vez."
O Equalizador,"Rumble dispara um grupo de mísseis, criando uma parede de fogo que causa dano e Lentidão a inimigos."
Rell,a Dama de Ferro
A Ferro e Fogo,"Rell ataca devagar, mas rouba Armadura e Resistência Mágica do alvo ao contato, causando dano adicional com base no valor roubado."
Golpe Estilhaçador,"Rell estoca com a lança, causando Dano Mágico às unidades em linha reta e destruindo o Escudo delas. A primeira unidade atingida sofre o roubo de defesa de A Ferro e Fogo. 

Se Rell estiver vinculada a um aliado com Atrair e Repelir, ambos recuperarão Vida para cada Campeão inimigo atingido por essa Habilidade."
Ferromante: Queda Esmagadora,"Passivo: enquanto estiver na montaria, Rell receberá Velocidade de Movimento adicional; já enquanto estiver blindada, ela receberá Armadura e Resistência Mágica adicionais.

Ativo: Rell alterna suas formas, conjurando uma Habilidade diferente com base na forma. Montaria: Rell veste a armadura e cai sobre os inimigos, Arremessando-os ao ar e recebendo um grande escudo. Blindada: Rell forja a montaria, recebendo um impulso de velocidade e arremessando para trás dela o próximo inimigo que Atacar."
Atrair e Repelir,"Rell vincula um pedaço de sua Armadura a outro Campeão aliado, concedendo a ele Armadura e Resistência Mágica enquanto estiverem próximos.

Com um vínculo formado, Rell pode conjurar a Habilidade sem alvejar um Campeão aliado para romper a ligação e Atordoar os inimigos que estiverem em sua extensão."
Tempestade Magnética,"Rell explode em uma fúria magnética, Arrastando violentamente os inimigos próximos em sua direção. Ela então Arrasta os inimigos próximos em direção a si por um curto período, causando Dano Mágico ao longo do tempo."
Rek'Sai,a Escavadora do Vazio
Fúria dos Xer'Sai,"Rek'Sai gera Fúria ao Atacar e atingir inimigos com habilidades básicas. Enquanto estiver Escavada, ela consome a Fúria para restaurar Vida."
Ira da Rainha / Sondar Presas,"Os próximos 3 ataques básicos de Rek'Sai causam Dano Físico adicional a inimigos próximos.

Enquanto está enterrada, Rek'Sai lança uma rajada de terra carregada com o poder do Vazio que causa Dano Físico e revela os inimigos atingidos."
Escavar / Emergir,"Rek'Sai se enterra no chão, recebendo novas habilidades e Velocidade de Movimento aumentada. O alcance de sua visão é reduzido e ela não pode usar ataques básicos.

Enquanto enterrada, Rek'Sai pode conjurar Emergir para causar dano e arremessar ao ar os inimigos próximos."
Mordida Feroz / Túnel,"Rek'Sai morde seu alvo, causando Dano Verdadeiro dobrado se tiver o máximo de Fúria.

Enquanto escavada, Rek'Sai cria um Túnel longo, duradouro e reutilizável. Inimigos podem destruí-lo ficando sobre uma das entradas."
Investida do Vazio,"Rek'Sai marca seus alvos passivamente ao causar dano. Ela pode ativar essa habilidade para se tornar brevemente inalvejável e saltar até o alvo marcado, causando dano pesado com base na Vida perdida dele."
Rammus,o Tatu Blindado
Casco Espetado,"Os ataques básicos de Rammus causam Dano Mágico adicional, escalando com sua Armadura."
Bola do Poder,"Rammus acelera em forma de bola na direção de seus inimigos, causando dano e lentidão nos alvos afetados pelo impacto."
Bola Curva Defensiva,"Rammus entra em formação de defesa, aumentando drasticamente sua Armadura e Resistência Mágica, amplificando o dano de Casco Espetado e devolvendo o dano a inimigos que causarem ataques básicos a ele. Contudo, sua velocidade também é reduzida neste período."
Provocação Enlouquecedora,"Rammus provoca um Campeão inimigo ou monstro para um ataque imprudente contra si mesmo. Além disto, ele recebe Velocidade de Ataque adicional por um curto período, embora este efeito seja estendido ao ter qualquer outra habilidade ativa."
Colisão Ascendente,"Rammus salta e se joga com força na área-alvo, causando Dano Mágico e Lentidão aos inimigos atingidos. Se a Habilidade for conjurada enquanto Rammus estiver com Bola do Poder ativa, ele também arremessará ao ar os inimigos próximos ao centro."
Rakan,O Charmoso
Plumas Mágicas,Rakan recebe um escudo periodicamente.
Pena Reluzente,"Lança uma pluma mágica que causa Dano Mágico. Ao atingir um Campeão ou um monstro épico, Rakan pode curar seus aliados."
Entrada Triunfal,"Avança para um local e, ao chegar, arremessa os inimigos próximos ao ar."
Dança da Batalha,Voa até um aliado e concede um escudo a ele. Pode ser conjurada novamente sem custo por um breve período.
Rapidez,"Recebe Velocidade de Movimento, encantando e causando Dano Mágico ao tocar nos inimigos."
Quinn,as Asas de Demacia
Rapina,"Valor, a águia demaciana de Quinn, periodicamente marca inimigos como Vulneráveis. O primeiro ataque básico de Quinn contra alvos Vulneráveis causará Dano Físico adicional."
Investida Anuviante,Quinn chama Valor para marcar um inimigo e prejudicar sua visão antes de causar dano a todos os inimigos na área.
Sentidos Apurados,Passivamente concede Velocidade de Ataque e de Movimento a Quinn após ela atacar um alvo Vulnerável. Ative para fazer com que Valor revele uma grande área próxima.
Salto,"Quinn avança em direção a um inimigo, causando Dano Físico e reduzindo a Velocidade de Movimento do alvo. Ao alcançar seu alvo, ela salta dele, interrompendo-o brevemente, e aterrissa a uma distância próxima de seu alcance máximo de ataque."
Retaguarda do Inimigo,"Quinn e Valor se juntam para voar em alta velocidade. Encerrar a habilidade conjura Bombardeio, que causa dano a inimigos próximos e marca Campeões como Vulnerável."
Qiyana,a Imperatriz dos Elementos
Privilégio da Realeza,O primeiro ataque básico ou habilidade de Qiyana contra cada inimigo causa dano adicional.
Cólera Elemental / Lâmina de Ixtal,"Qiyana brande sua arma, causando dano com um efeito adicional baseado no seu elemento."
Terraforme,Qiyana avança para um local e encanta sua arma com um elemento. Ataques e habilidades causam dano adicional enquanto sua arma estiver encantada. 
Audácia,Qiyana avança em um inimigo e causa dano.
Suprema Demonstração de Talento,"Qiyana lança uma onda de choque que detona quaisquer elementos que ela acertar, atordoando e causando dano a inimigos próximos."
Abater os Indefesos,"Renekton brande sua lâmina, causando Dano Físico moderado em todos os alvos ao seu redor e curando-o em uma pequena quantia do dano causado. Caso tenha mais que 50 pontos de Fúria, seu dano e cura aumentam."
Predador Desumano,"Renekton corta seu alvo duas vezes, causado Dano Físico moderado e atordoamento por 0,75s. Se Renekton tiver mais de 50 de Fúria, ele corta o inimigo três vezes, destruindo escudos de dano no alvo, causando Dano Físico alto e atordoando por 1,5s."
Fatiar e Picar,"Renekton avança, causando dano a unidades em seu caminho. Fortalecido, Renekton causa dano adicional e reduz a Armadura das unidades atingidas."
Dominus,"Renekton transforma-se em sua forma Tirana, recebendo Vida adicional e causando dano a inimigos ao seu redor. Enquanto estiver nessa forma, ele recebe Fúria periodicamente."
Pyke,o Estripador das Águas Sangrentas
Dádiva dos Afogados,"Quando Pyke está escondido dos inimigos, ele regenera o dano recebido recentemente de Campeões. Pyke também não ganha Vida máxima adicional de nenhuma fonte, mas ganha DdA adicional."
Espeto de Osso,Pyke esfaqueia um inimigo à sua frente ou puxa um inimigo em direção a si mesmo.
Mergulho Fantasma,Pyke entra em camuflagem e ganha Velocidade de Movimento significativa que decai ao longo do tempo.
Ressaca Espectral,"Pyke avança e deixa para trás um fantasma, que avança até ele e atordoa os Campeões inimigos pelo caminho."
Morte das Profundezas,"Pyke teleporta até inimigos com Vida baixa e os executa, permitindo que ele conjure a habilidade novamente e concedendo ouro adicional ao aliado que der assistência."
Poppy,a Guardiã do Martelo
Embaixadora de Ferro,"Poppy arremessa seu broquel, que bate no alvo e cai no chão. Ela pode apanhá-lo para receber um escudo temporário."
Choque do Martelo,"Poppy golpeia com o martelo, causando dano e criando uma área que reduz a velocidade de inimigos e explode após um intervalo."
Presença Inabalável,"Poppy recebe Armadura e Resistência Mágica passivamente, que aumentam quando ela estiver com Vida baixa. Ela pode ativar Presença Inabalável para receber Velocidade de Movimento e impedir avanços inimigos ao seu redor, fazendo com que o inimigo impedido sofra redução de velocidade e fique preso ao chão."
Pantheon,a Lança Indestrutível
Determinação Mortal,"Após algumas habilidades ou ataques, a próxima habilidade de Pantheon será fortalecida."
Lança Meteórica,Pantheon pode fazer uma investida com sua lança ou arremessá-la na direção escolhida.
Escudo-Cometa,"Pantheon avança em um alvo, causando dano e atordoando-o."
Égide Impetuosa,"Pantheon posiciona seu escudo, ficando invulnerável a dano vindo de sua frente e atacando rapidamente com sua lança."
Constelação Cadente,"Pantheon se prepara, salta para o ar e aterrissa como um cometa no local escolhido."
Ornn,O Fogo sob a Montanha
Forja Viva,"Ornn recebe Armadura e Resistência Mágica adicionais de todas as origens.

Ele pode gastar ouro para forjar itens não consumíveis em qualquer lugar.

Além disso, ele pode criar itens magistrais para si mesmo e para seus aliados."
Ruptura Vulcânica,"Ornn bate no chão, dispersando uma fissura que causa dano e reduz a velocidade dos inimigos atingidos. Após um breve intervalo, um pilar de magma se forma no ponto final."
Fôlego do Fole,Ornn avança cuspindo fogo. Inimigos atingidos pelo último sopro de fogo tornam-se Frágeis.
Investida Calcinante,"Ornn se lança em investida, causando dano aos inimigos sobre os quais passar. Se Ornn colidir com o terreno enquanto estiver em investida, o impacto criará uma onda de choque que causará dano e arremessará os inimigos ao ar."
Chamado do Deus da Forja,"Ornn invoca um elemental gigante em um ponto, que viaja até ele cada vez mais rápido. Inimigos atropelados pelo elemental sofrem dano, têm a velocidade reduzida e ficam Frágeis. Ornn pode reconjurar a habilidade para dar uma investida no elemental para redirecioná-lo na direção em que ele o acertar, fazendo com que o elemental arremesse ao ar todos os inimigos que ele atingir, causando o mesmo dano e reaplicando Frágil."
Orianna,a Donzela Mecânica
Dando Corda,Os Ataques de Orianna causam Dano Mágico adicional. O dano aumenta a cada vez que ela Ataca o mesmo alvo.
Comando: Atacar,"Orianna comanda sua Esfera para avançar no local-alvo, causando Dano Mágico ao longo do caminho (causa menos dano a alvos subsequentes). A Esfera permanece no mesmo lugar após o comando."
Comando: Dissonância,"Orianna comanda que sua Esfera desfira um pulso de energia, causando Dano Mágico ao seu redor. Isso deixa para trás um campo que aumenta a Velocidade de Movimento de aliados e causa Lentidão aos inimigos."
Comando: Proteger,"Orianna comanda que sua Esfera se prenda a um Campeão aliado, concedendo a ele um Escudo e causando Dano Mágico a qualquer inimigo que ela atravessar em seu trajeto. Além disso, a Esfera concede Armadura e Resistência Mágica adicionais ao Campeão ao qual estiver presa."
Comando: Onda de Choque,"Orianna comanda sua Esfera para desferir uma onda de choque, causando Dano Mágico e deslocando inimigos próximos em direção à Esfera após um curto intervalo."
Olaf,o Berserker
Fúria Berserker,Olaf recebe Velocidade de Ataque com base na Vida perdida dele.
Ressaca,"Olaf arremessa um machado no local-alvo, causando dano e Lentidão aos inimigos que atravessar. Se Olaf apanhar o machado, o Tempo de Recarga da habilidade será reduzido em 4,5s."
Golpes Nefastos,"Olaf recebe aumento na Velocidade de Ataque, Roubo de Vida e cura proveniente de todas as origens dependendo de quanta Vida removida tiver."
Balanço Temerário,"Olaf ataca com tal força que causa Dano Verdadeiro a seu alvo e a si mesmo, recuperando o custo de Vida caso destrua o alvo."
Ragnarok,Olaf fica temporariamente imune a desarmes.
Nunu e Willump,o Garoto e seu Yeti
Chamado de Freljord,"Nunu aumenta as Velocidades de Ataque e de Movimento de Willump e de um aliado próximo, além de fazer com que os ataques básicos de Willump causem dano a inimigos ao redor do alvo."
Consumir,"Willump dá uma mordida em uma tropa, monstro ou Campeão inimigo, causando dano e se curando."
A Maior Bola de Neve de Todas!,Willump cria uma bola de neve que aumenta em velocidade e tamanho conforme ele a rola. Ela causa dano a inimigos e os arremessa ao ar.
Rajada de Bolas de Neve,"Nunu arremessa múltiplas bolas de neve que causam dano a inimigos. Ao terminar, Willump enraíza quaisquer Campeões ou monstros grandes que foram atingidos por uma delas."
Nocturne,o Eterno Pesadelo
Lâminas Sombrias,"A cada poucos segundos, o próximo ataque de Nocturne atinge os inimigos ao seu redor para causar Dano Físico adicional e curá-lo. 

Os ataques básicos de Nocturne reduzem esse Tempo de Recarga."
Portador do Anoitecer,"Nocturne lança uma lâmina de sombras que causa dano, deixa um Rastro do Crepúsculo e faz com que os Campeões deixem um Rastro do Crepúsculo. Enquanto estiver no rastro, Nocturne ignora colisões com unidades e ganha aumento de Velocidade de Movimento e de Dano de Ataque."
Proteção das Trevas,"Nocturne fortalece suas lâminas, ganhando Velocidade de Ataque passivamente. Ativar Proteção das Trevas permite que Nocturne desapareça em meio às sombras, criando uma barreira mágica que bloqueia uma única habilidade inimiga e dobra a Velocidade de Ataque passiva dele caso bem-sucedida."
Horror Indescritível,"Nocturne coloca um pesadelo na mente de seu alvo, causando dano a cada segundo e aterrorizando-o caso ele não saia de seu alcance enquanto durar a habilidade."
Paranoia,Nocturne reduz o raio de visão de todos os Campeões inimigos e ainda remove a visão que eles têm dos aliados. Depois ele pode se arremessar contra um Campeão inimigo que estiver próximo.
Investida Heroica,"Poppy avança até o alvo e o empurra para trás. Se o alvo colidir com uma parede, ele será atordoado."
Veredito da Guardiã,Poppy canaliza um golpe com o martelo que empurra inimigos para muito longe.
Zero Absoluto,"Nunu e Willump criam uma poderosa nevasca em uma área, causando lentidão aos inimigos e um dano massivo quando se encerrar."
Nidalee,a Caçadora Bestial
Espreitar,"Mover-se pelos arbustos aumenta a Velocidade de Movimento de Nidalee em 10% por 2 segundos, aumentando para 30% em direção a campeões inimigos visíveis dentre 1400 de alcance.
Atingir Campeões ou monstros com Arremessar Lança ou Arapuca aciona uma Caçada, que concede Visão Mágica deles por 4 segundos. Durante esse tempo, Nidalee recebe 10% de Velocidade de Movimento (aumentando para 30% em direção ao alvo Caçado) e o uso de Bote ou Investida contra o alvo é aprimorado."
Arremessar Lança / Bote,"Na forma humana, Nidalee arremessa uma lança perfurante em seu alvo, que acumula dano enquanto está no ar. Como puma, seu próximo ataque irá tentar ferir o inimigo de maneira letal, causando dano inversamente proporcional à Vida do alvo."
Arapuca / Investida,"Na forma humana, Nidalee posiciona uma armadilha para seus oponentes descuidados que, quando ativada, causa dano e os revela. Em forma de puma, ela salta em uma direção, causando dano na área em que aterrissar."
Ímpeto Selvagem / Patada,"Na forma humana, Nidalee canaliza o espírito do puma para curar seus aliados e lhes concede Velocidade de Ataque por um curto período de tempo. Em forma de puma, ela golpeia em uma direção, causando dano aos inimigos à sua frente."
Aspecto do Puma,"Nidalee transforma-se em um puma, recebendo novas habilidades."
Neeko,a Camaleoa Curiosa
Encanto Inerente,Neeko pode se parecer com um Campeão aliado. Sofrer dano de Campeões inimigos ou conjurar habilidades de dano quebram o disfarce.
Explosão Florescente,"Neeko arremessa uma semente, causando Dano Mágico. A semente floresce novamente ao atingir Campeões ou abater unidades."
Metamorfa,Neeko passivamente causa Dano Mágico adicional a cada terceiro ataque e pode ativar a habilidade para enviar um clone em uma direção.
Farpas Emaranhadas,"Neeko arremessa um emaranhado que causa dano e enraíza tudo o que atravessa. Se o emaranhado abater um inimigo ou atravessar um Campeão, ele aumentará de tamanho, terá mais velocidade e enraizará por mais tempo."
Florescer Repentino,"Após uma curta preparação, Neeko salta no ar e recebe um escudo. Ao aterrissar, inimigos próximos sofrem dano e atordoamento. A preparação fica oculta se Neeko estiver disfarçada."
Nautilus,o Titã das Profundezas
Âncora Impactante,O primeiro Ataque de Nautilus a um alvo causa Dano Físico aumentado e Enraíza-o brevemente.
Lançar Âncora,"Nautilus arremessa sua âncora à frente.  Se acertar um inimigo, ele puxa a si mesmo e ao alvo para perto um do outro, causando Dano Mágico.  Se acertar um terreno, Nautilus avança em direção a ele."
Ira do Titã,"Nautilus recebe um Escudo temporário.  Enquanto o Escudo persistir, seus Ataques causam dano ao longo do tempo ao alvo e a inimigos próximos."
Correnteza,Nautilus cria três ondas explosivas ao redor de si. Cada explosão causa dano e Lentidão aos inimigos.
Carga de Profundidade,"Nautilus lança uma onda de choque na terra que persegue o oponente. Essa onda rasga a terra em cima dela, arremessando os inimigos ao ar. Quando ela alcança o oponente, a onda de choque explode, arremessando o alvo ao ar e atordoando ele."
Nasus,o Curador das Areias
Devorador de Almas,"Nasus drena a energia espiritual de seu inimigo, acumulando Roubo de Vida adicional."
Ataque Sifão,"Nasus ataca seu inimigo, causando dano e aumentando o poder do próximo Ataque Sifão se o alvo for abatido."
Murchar,"Nasus envelhece um Campeão inimigo, reduzindo a Velocidade de Movimento e de Ataque do alvo ao longo do tempo."
Fogo Espiritual,"Nasus libera uma chama espiritual em um local, causando dano e reduzindo a Armadura dos inimigos que pisarem nela."
Fúria das Areias,"Nasus libera uma poderosa tempestade de areia que atinge inimigos próximos. Enquanto a tempestade estiver ativa, ele recebe Vida e Alcance de Ataque adicionais, causa dano a inimigos próximos, reduz o Tempo de Recarga de Ataque Sifão e recebe Armadura e Resistência Mágica adicionais."
Mordekaiser,o Revenã de Ferro
Ascensão das Trevas,Mordekaiser recebe uma poderosa aura de dano e Velocidade de Movimento depois de acertar 3 Ataques ou Habilidades contra Campeões inimigos ou monstros.
Obliterar,"Mordekaiser golpeia o chão com sua maça, causando dano a cada inimigo atingido. O dano é aumentado quando atingir um único inimigo."
Indestrutível,Mordekaiser armazena o dano que ele causa e recebe para criar um escudo. Ele pode consumir o escudo para se curar.
Aperto Mortal,Mordekaiser puxa todos os inimigos em uma área.
Reino da Morte,"Mordekaiser arrasta sua vítima com ele para uma dimensão diferente e rouba uma porção de seus atributos. Se abater sua vítima, ele mantém os atributos até que ela ressurja."
Morgana,a Caída
Sifão da Alma,"Morgana drena o espírito dos inimigos, curando-se conforme causa dano a Campeões, tropas grandes e monstros médios e grandes da selva."
Ligação das Trevas,"Morgana prende um inimigo no lugar com magia sombria, forçando-o a sentir a dor que provocou e causando Dano Mágico. "
